collegeCode,collegeName,status,homeUniversity,district,minority,feesPdfUrl
01002,"Government College of Engineering, Amravati",Government Autonomous Home University,Autonomous Institute,Amravati,Non Minority,
01005,"Sant Gadge Baba Amravati University,Amravati",University Department Home University,Sant Gadge Baba Amravati University,Amravati,Non Minority,
01012,"Government College of Engineering,Yavatmal",Government Home University,Sant Gadge Baba Amravati University,Yavatmal,Non Minority,
01101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Un-Aided Home University,Sant Gadge Baba Amravati University,Buldhana,Non Minority,
01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Un-Aided Autonomous Home University,Autonomous Institute,Amravati,Non Minority,
01107,"P. R. Pote Patil College of Engineering & Management, Amravati",Un-Aided Autonomous Home University,Autonomous Institute,Amravati,Non Minority,
01114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Un-Aided Autonomous Home University,Autonomous Institute,Amravati,Non Minority,
01116,"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Un-Aided Home University,Sant Gadge Baba Amravati University,Akola,Non Minority,
01117,"Janata Shikshan Prasarak Mandal�s Babasaheb Naik College Of Engineering, Pusad",Un-Aided Home University,Sant Gadge Baba Amravati University,Yavatmal,Non Minority,
01119,ANURADHA COLLEGE OF ENGINEERING & TECHNOLOGY,Un-Aided Home University,Sant Gadge Baba Amravati University,Buldhana,Non Minority,
01120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Un-Aided Autonomous Linguistic Minority - Hindi Home University,Autonomous Institute,Yavatmal,Hindi Minority,
01121,"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati",Un-Aided Home University,Sant Gadge Baba Amravati University,Amravati,Non Minority,
01123,"Dr.Rajendra Gode Institute of Technology & Research, Amravati",Un-Aided Home University,Sant Gadge Baba Amravati University,Amravati,Non Minority,
01125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu College of Engineering, Buldhana",Un-Aided Home University,Sant Gadge Baba Amravati University,Buldhana,Non Minority,
01126,"Takshashila Institute of Engineering & Technology, Darapur, Amravati",Un-Aided Home University,Sant Gadge Baba Amravati University,Amravati,Non Minority,
01127,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",Un-Aided Autonomous Home University,Autonomous Institute,Yavatmal,Non Minority,
01128,"Prof Ram Meghe College of Engineering and Management, Badnera",Un-Aided Home University,Sant Gadge Baba Amravati University,Amravati,Non Minority,
01130,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",Un-Aided Home University,Sant Gadge Baba Amravati University,Amravati,Non Minority,
01180,"Sanmati Engineering College, Sawargaon Barde, Washim",Un-Aided Home University,Sant Gadge Baba Amravati University,Washim,Non Minority,
01182,"Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana",Un-Aided Home University,Sant Gadge Baba Amravati University,Buldhana,Non Minority,
01265,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",Un-Aided Home University,Sant Gadge Baba Amravati University,Buldhana,Non Minority,
01268,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile",Un-Aided Home University,Sant Gadge Baba Amravati University,Buldhana,Non Minority,
01276,"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302",Un-Aided Home University,Sant Gadge Baba Amravati University,Nagpur,Non Minority,
02008,"Government College of Engineering, Chhatrapati Sambhajinagar",Government Autonomous Home University,Autonomous Institute,Chhatrapati Sambhajinagar,Non Minority,
02015,"PURANMAL LAHOTI GOVERNMENT INSTITUTE OF ENGINEERING AND TECHNOLOGY, LATUR",Government Home University,"Swami Ramanand Teerth Marathwada University, Nanded",,Non Minority,
02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Government-Aided Autonomous Home University,Autonomous Institute,Nanded,Non Minority,
02021,"University Department of Chemical Technology, Aurangabad",University Department Home University,Dr. Babasaheb Ambedkar Marathwada University,Chhatrapati Sambhajinagar,Non Minority,
02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",University Managed Autonomous Home University,Deemed to be University,Mumbai,Non Minority,
02111,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar",Un-Aided Religious Minority - Muslim Home University,Dr. Babasaheb Ambedkar Marathwada University,Chhatrapati Sambhajinagar,Muslim Minority,
02112,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad",Un-Aided Home University,Dr. Babasaheb Ambedkar Marathwada University,Chhatrapati Sambhajinagar,Non Minority,
02113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Un-Aided Autonomous Home University,Autonomous Institute,Chhatrapati Sambhajinagar,Non Minority,
02114,"Deogiri Institute of Engineering and Management Studies, Aurangabad",Un-Aided Autonomous Home University,Autonomous Institute,Chhatrapati Sambhajinagar,Non Minority,
02116,"Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi , Nanded",Un-Aided Home University,"Swami Ramanand Teerth Marathwada University, Nanded",,Non Minority,
02127,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Un-Aided Home University,"Swami Ramanand Teerth Marathwada University, Nanded",Nanded,Non Minority,
02129,"M.S. Bidve Engineering College, Latur",Un-Aided Home University,"Swami Ramanand Teerth Marathwada University, Nanded",Nanded,Non Minority,
02130,"Terna Public Charitable Trust's College of Engineering, Osmanabad",Un-Aided Home University,Dr. Babasaheb Ambedkar Marathwada University,Dharashiv,Non Minority,
