branchCode,branchName
100219110,Civil Engineering
100224210,Computer Science and Engineering
100224610,Information Technology
100229310,Electrical Engineering
100237210,Electronics and Telecommunication Engg
100246610,Instrumentation Engineering
100261210,Mechanical Engineering
100550310,Food Technology
100551710,Oil and Paints Technology
100552710,Petro Chemical Engineering
101219110,Civil Engineering
101224510,Computer Engineering
101229310,Electrical Engineering
101237210,Electronics and Telecommunication Engg
101261210,Mechanical Engineering
110124210,Computer Science and Engineering
110124610,Information Technology
110135610,Electrical Engg[Electronics and Power]
110137210,Electronics and Telecommunication Engg
110161210,Mechanical Engineering
110519110,Civil Engineering
110524210,Computer Science and Engineering
110524610,Information Technology
110526310,Artificial Intelligence (AI) and Data Science
110526510,Industrial IoT
110537210,Electronics and Telecommunication Engg
110561210,Mechanical Engineering
110719110,Civil Engineering
110724210,Computer Science and Engineering
110729310,Electrical Engineering
110737210,Electronics and Telecommunication Engg
110761210,Mechanical Engineering
110799510,Artificial Intelligence and Data Science
111419110,Civil Engineering
111424210,Computer Science and Engineering
111424610,Information Technology
111437210,Electronics and Telecommunication Engg
111461210,Mechanical Engineering
111619110,Civil Engineering
111624210,Computer Science and Engineering
111650710,Chemical Engineering
111661210,Mechanical Engineering
111719110,Civil Engineering
111724210,Computer Science and Engineering
111735610,Electrical Engg[Electronics and Power]
111761210,Mechanical Engineering
111799510,Artificial Intelligence and Data Science
111924210,Computer Science and Engineering
111924610,Information Technology
111937210,Electronics and Telecommunication Engg
111950710,Chemical Engineering
111961210,Mechanical Engineering
112019110,Civil Engineering
112024210,Computer Science and Engineering
112029310,Electrical Engineering
112037210,Electronics and Telecommunication Engg
112050710,Chemical Engineering
112061210,Mechanical Engineering
112089310,Textile Engineering / Technology
112124210,Computer Science and Engineering
112124610,Information Technology
112137210,Electronics and Telecommunication Engg
112161210,Mechanical Engineering
112319110,Civil Engineering
112324210,Computer Science and Engineering
112337210,Electronics and Telecommunication Engg
112361210,Mechanical Engineering
112519110,Civil Engineering
112524210,Computer Science and Engineering
112529310,Electrical Engineering
112561210,Mechanical Engineering
112619110,Civil Engineering
112624210,Computer Science and Engineering
112629310,Electrical Engineering
112637210,Electronics and Telecommunication Engg
112661210,Mechanical Engineering
112719110,Civil Engineering
112724510,Computer Engineering
112729310,Electrical Engineering
112737210,Electronics and Telecommunication Engg
112761210,Mechanical Engineering
112819110,Civil Engineering
112824210,Computer Science and Engineering
112824610,Information Technology
112829310,Electrical Engineering
112837210,Electronics and Telecommunication Engg
112891210,Computer Science and Engineering(Data Science)
113019110,Civil Engineering
113024210,Computer Science and Engineering
113035610,Electrical Engg[Electronics and Power]
113037210,Electronics and Telecommunication Engg
113061210,Mechanical Engineering
118019110,Civil Engineering
118024210,Computer Science and Engineering
118026310,Artificial Intelligence (AI) and Data Science
118029310,Electrical Engineering
118061210,Mechanical Engineering
118219110,Civil Engineering
118224210,Computer Science and Engineering
118229310,Electrical Engineering
118261210,Mechanical Engineering
126519110,Civil Engineering
126524210,Computer Science and Engineering
126524610,Information Technology
126535610,Electrical Engg[Electronics and Power]
126537210,Electronics and Telecommunication Engg
126561210,Mechanical Engineering
126819110,Civil Engineering
126824210,Computer Science and Engineering
126835610,Electrical Engg[Electronics and Power]
126837210,Electronics and Telecommunication Engg
126861210,Mechanical Engineering
127619110,Civil Engineering
127624510,Computer Engineering
127629310,Electrical Engineering
200819110,Civil Engineering
200824210,Computer Science and Engineering
200824610,Information Technology
200829310,Electrical Engineering
200837210,Electronics and Telecommunication Engg
200861210,Mechanical Engineering
202019110,Civil Engineering
202024210,Computer Science and Engineering
202024610,Information Technology
202029310,Electrical Engineering
202037210,Electronics and Telecommunication Engg
202046610,Instrumentation Engineering
202050710,Chemical Engineering
202060610,Production Engineering
202061210,Mechanical Engineering
202089610,Textile Technology
202150310,Food Technology
202181610,Pharmaceutical and Fine Chemical Technology
203290410,Chemical Engineering
211119110,Civil Engineering
211124210,Computer Science and Engineering
211129310,Electrical Engineering
211161210,Mechanical Engineering
211219110,Civil Engineering
211224210,Computer Science and Engineering
211229310,Electrical Engineering
211261210,Mechanical Engineering
211284410,Electronics and Computer Engineering
211291210,Computer Science and Engineering(Data Science)
211301110,Agricultural Engineering
211319110,Civil Engineering
211324210,Computer Science and Engineering
211325710,Computer Science and Design
211326310,Artificial Intelligence (AI) and Data Science
211329310,Electrical Engineering
211350110,Plastic and Polymer Engineering
211361210,Mechanical Engineering
211384410,Electronics and Computer Engineering
211399510,Artificial Intelligence and Data Science
211419110,Civil Engineering
211424210,Computer Science and Engineering
211437210,Electronics and Telecommunication Engg
211461210,Mechanical Engineering
211491110,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
211619110,Civil Engineering
211624210,Computer Science and Engineering
211629310,Electrical Engineering
211629710,Electrical and Electronics Engineering
211661210,Mechanical Engineering
211691110,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
212719110,Civil Engineering
